Research AI+ 社区 × 小红书 × 绿洲资本 × 上海未来启点社区 × Monolith × 模速空间,7月18日,19:30–23:00,上海（报名通过后告知）,按小红书原帖说明在评论区滴滴并说明个人背景和想参加的场次,免费,AI 研究者派对之夏 · AI for Science Night,面向科研、工程、技术人群的 WAIC 周边系列派对，覆盖 AI for Science、LLM & Agent、Embodied AI 等方向。活动免费，报名后获取详细地址，适合希望在大会期间和研究者、工程师深入交流的人参与。,科研、工程、技术人群,未标明,闭门交流+派对,微信公众号 / 小红书,https://mp.weixin.qq.com/s/8o1H48d1gBjuIvkXJaFNRA | https://www.xiaohongshu.com/explore/6a5469e0000000001603f2a9,Research AI+ 社区,07-13-12:30,07-18 23:59,上海市浦东新区世博片区,上海市浦东新区世博片区
THUAGI × 燕南创新,7月18日,19:00,上海世博片区,评论区预先探讨或留下问题报名,未标明,真实世界 AI / Real-World AI,围绕“真实世界 AI”展开的 WAIC Side Event，讨论 AI 从 benchmark 走向企业采购、医疗协同、工厂排产等真实场景后的落地挑战。适合关注 AI 产品化、业务落地和算法实践的人参与。,AI 算法博士生/研究员、AI 产品、业务落地同学,"名字：王捷
背景：中国初代 AI 投资人，摩尔线程、长鑫存储、Kimi 的共同投资人；",圆桌 + 沙龙,小红书,https://www.xiaohongshu.com/explore/6a551601000000001702a57c | https://www.xiaohongshu.com/explore/6a539b1d000000001c0240ca,AttraX,07-12-21:48,未标明,上海市浦东新区世博大道沿线周边（浦东世博片区）,上海市浦东新区世博大道
TTC才多对,7月18日,18:00-20:30,上海前滩,https://www.xiaohongshu.com/...,未标明,TTC@九合AI奇妙夜之WAIC特别版,线下交流,未标明,未标明,未标明,小红书,https://www.xiaohongshu.com/...,TTC才多对,07-10-19:30,未标明,上海市浦东新区前滩国际商务区,上海市浦东新区前滩国际商务区
ThinkInAI 星科社区,7月18日,晚上（具体时间未标明）,黄浦江游艇（西岸登船，具体地点待通知）,私信博主，发送姓名、行业、正在做的事及可分享的经验/资源申请,未标明,ThinkInAI Partners Night｜AI 新航线游艇闭门夜谈,ThinkInAI 星科社区在 WAIC 期间组织的小规模游艇闭门夜谈，只开放少量申请名额。活动围绕 AI 下一阶段的产业落地机会、各行业真实需求，以及品牌、资本、渠道与场景之间的资源协同展开，强调高质量讨论和可落地合作,ThinkInAI 核心成员、合作伙伴，以及正在 AI 行业认真做事并能贡献经验、资源或合作机会的人,未标明,邀请制游艇闭门夜谈,小红书,https://www.xiaohongshu.com/explore/6a55d7ac000000001003e0dd,ThinkInAI开发者社区,07-14-14:31,未标明,上海市黄浦区西岸,上海市黄浦区
WAIC UP MORE × Datawhale × AGI Villa × 硅星人,7月18日,18:30–22:00,上海徐汇·模速空间·第三空间,关注 Datawhale 或 AGI Villa 公众号获取报名信息,未标明,AI 创造者之夜 · What Are You Building This Year?,这场创造者之夜不泛谈趋势，而是直接追问每个人今年正在构建什么。AI 原生开发者、青年科学家与跨界创作者可以带着具体项目和问题到场，在分享与自由交流中寻找反馈、协作者和下一步行动。,AI 原生开发者、青年科学家与跨界创作者,未标明,项目分享 + 创造者交流 + Afterparty,新浪财经,https://finance.sina.cn/hy/2026-07-09/detail-inihhrah3959649.d.html,世界人工智能大会,07-09-22:05,未标明,上海市徐汇区模速空间,上海市徐汇区
WAIC UP MORE × 哈佛商业评论中国 × 信睿科技评论,7月18日,19:30–21:40,上海张江科学会堂五楼光空间,打开 Hi！WAIC APP，在“活动”Tab 搜索“WAIC UP! AI 创作者之夜”购票,¥228,WAIC UP! AI 创作者之夜,导演、科幻写作者、AI 技术与产品实践者将从创作链条的不同位置讨论 AI 如何改变表达、生产与版权治理。活动用主题分享和圆桌对话连接技术与内容行业，适合希望重新理解 AI 时代创作价值的人。,导演、编剧及各类内容创作者,未标明,圆桌 + 主题分享,微信公众号,https://mp.weixin.qq.com/s/4Xv_q2Fanf2fxTH6KRf_pg,WAIC UP MORE × 信睿科技评论,07-08-09:00,未标明,上海市浦东新区海科路1393号张江科学会堂,上海市浦东新区海科路张江科学会堂(W1门)
WAIC UP MORE × 咔嗒Lab,7月18日,18:00–22:00,上海模速空间青年友好第三空间,扫描微信公众号原文二维码进群申请免费票；未获赠票可在 Hi！WAIC APP 购票,¥168,WAIC AI Nightfall｜全球智识之夜,WAIC UP MORE 与咔嗒Lab 为全球 AI 游牧者打造的夜间智识交流场。活动邀请来自模型、产品、工程和投资一线的参与者抛开 PPT，围绕产品真实痛点、Harness 与多模态 Skill 工作流展开自由圆桌，并在微醺氛围中寻找下一步合作线索,AI 创业者、产品负责人、算法工程师、算力从业者与 AI 投资人,未标明,圆桌对话 + 主题分享 + 微醺交流,微信公众号 / 新浪财经,https://mp.weixin.qq.com/s/a5-ds3AfuqxxNPvFJIqFsA | https://finance.sina.cn/hy/2026-07-09/detail-inihhrah3959649.d.html,WAIC UP MORE × 咔嗒Lab | 世界人工智能大会,07-09-22:05,未标明,上海市杨浦区政立路489号,上海市杨浦区政立路489号
WAIC UP MORE × 信睿科技评论,7月18日,19:30–21:40,上海张江科学会堂五楼光空间,https://mp.weixin.qq.com/s/4Xv_q2Fanf2fxTH6KRf_pg,¥228,WAIC UP! AI 创作者大会,WAIC UP! AI 创作者大会 是由WAIC UP MORE × 信睿科技评论发起的WAIC 2026 期间的圆桌 + 主题分享。WAIC UP MORE × 信睿科技评论 · 主题分享 + 圆桌对话。活动安排为7月18日，19:30–21:40，上海张江科学会堂五楼光空间,,,圆桌 + 主题分享,微信公众号,https://mp.weixin.qq.com/s/4Xv_q2Fanf2fxTH6KRf_pg,WAIC UP MORE × 信睿科技评论,未标明,未标明,上海市浦东新区海科路1393号张江科学会堂,上海市浦东新区海科路张江科学会堂(W1门)
共绩算力（共绩科技）,7月18日,19:00-22:00,上海徐汇（详细集合点将通过报名手机号短信通知）,扫码报名（见微信公众号原文海报）,未标明,疯子大会｜WAIC 之夜,共绩算力在 WAIC 期间发起一场 50 人规模的创业者夜聚，强调不设 PPT、直接分享创业旅程与真实问题。活动以“保持好奇心，追问到宇宙尽头”为主张，适合希望在大会之外进行开放交流和认识同行的创作者参与。,保持好奇、愿意分享创业旅程的创作者（限 50 席）,未标明,创业分享 + WAIC 夜聚,微信公众号,https://mp.weixin.qq.com/s/rIr6Glx7DfHPhrd211lwQg,共绩算力suanli.cn,07-14-18:46,未标明,上海市徐汇区,上海市徐汇区
光源资本,7月18日,18:30–21:30,上海（审核通过后通知）,见微信公众号原文报名,免费,光启夜叙 · Light Night,光启夜叙 · Light Night 是由光源资本发起的WAIC 2026 期间的酒会。光源资本 · 社交酒会（报名截止 7.16）。活动安排为7月18日，18:30–21:30，上海（审核通过后通知）,未标明,未标明,酒会,微信公众号,https://mp.weixin.qq.com/s/v4vzxl4fPib_IVUEee1pUQ,光源资本,07-13-17:59,7.16,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
硅星人,7月18日,14:00–17:30,徐汇西岸国际会展中心,见微信公众号原文报名,免费,WAIC 2026 青年场：Agent、具身、AI 应用 —— 来见真正「在打仗」的人,WAIC 2026 青年场：Agent、具身、AI 应用 —— 来见真正「在打仗」的人 是由硅星人发起的WAIC 2026 期间的论坛。硅星人 · 论坛 + 脱口秀（AI 青年创变者创新论坛）。活动安排为7月18日，14:00–17:30，徐汇西岸国际会展中心,未标明,未标明,论坛,微信公众号,https://mp.weixin.qq.com/s/tDMrgVbe5iOR-o4sOXl9Mw,硅星人,07-14-10:28,未标明,上海市徐汇区龙腾大道3398号,上海市徐汇区龙腾大道3398号
红杉科创平台 × 火山引擎,7月18日,15:00-18:00,AGI Bar·上海徐汇,https://waic.waytoagi.com/events/e_67535cbda2,未标明,AI TASTE PARTY,红杉科创平台与火山引擎邀请研究者、创业者和创作者带着自己的 AI 作品来到现场，以作品展示和面对面交流的方式讨论产品、技术与创作实践。,研究者、创业者及带有 AI 作品的创作者,未标明,线下交流/Side Event,WaytoAGI,https://waic.waytoagi.com/events/e_67535cbda2,红杉科创平台 × 火山引擎,07-15-12:16,未标明,上海市徐汇区,上海市徐汇区
九合创投,7月18日,18:00–20:30,上海（报名后通知）,见微信公众号原文报名,免费,九合 AI 奇妙夜 · AI Debug Night（AI 填坑吐槽大会）,九合 AI 奇妙夜 · AI Debug Night（AI 填坑吐槽大会） 是由九合创投发起的WAIC 2026 期间的线下交流活动。九合创投 · 脱口秀 · 吐槽大会。活动安排为7月18日，18:00–20:30，上海（报名后通知）,,,,微信公众号,https://mp.weixin.qq.com/s/a_z6hzZR6oM9-JJ4Xc9rig,九合创投,未标明,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
九合创投 × 亚马逊云科技 startups × 蚂上加速器 × TTC,7月18日,18:00–20:30,上海（报名后通知）,扫描微信公众号原文海报二维码报名,免费,九合 AI 奇妙夜 · AI Debug Night（AI 填坑吐槽大会）,这场 AI Debug Night 把创业和产品落地中的失败经验搬上台，以填坑吐槽和开放交流的方式拆解真实问题。参与者既能听到一线团队的复盘，也能在轻松氛围里交换解决方案和合作线索。,未标明,未标明,吐槽大会 + 创业复盘 + Networking,微信公众号 / 小红书,https://mp.weixin.qq.com/s/a_z6hzZR6oM9-JJ4Xc9rig | https://www.xiaohongshu.com/explore/6a50c963000000001101a988,九合创投 × TTC才多对,07-10-17:29,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
蚂蚁开源,7月18日,17:30–20:00,AOKKA Coffee（上海世博天地）,https://www.bagevent.com/event/9237656,免费,Agentc 创业局 ·「避坑局」,Agentc 创业局 ·「避坑局」 是由蚂蚁开源发起的WAIC 2026 期间的闭门交流。蚂蚁开源 · Agent 创业者闭门交流。活动安排为7月18日，17:30–20:00，AOKKA Coffee（上海世博天地）,未标明,未标明,闭门交流,百格活动,https://www.bagevent.com/event/9237656,蚂蚁开源,未标明,未标明,上海市浦东新区世博大道1750号上海世博天地,上海市浦东新区世博大道1750号世博天地
破壳机器人 × AI椰青,7月18日,20:30-22:30,上海（具体地点另行通知）,报名入口已关闭,未标明,WAIC Afterparty｜机器人之夜,破壳机器人与 AI椰青联合发起的 WAIC 机器人之夜，以闭门圆桌和开放麦连接机器人研究者、创业者与一线技术实践者。圆桌嘉宾覆盖 Pi、DYNA、Muka Robotics、RoboParty、生数科技和高校研究团队，适合关注具身智能与机器人前沿的人了解现场观点。活动报名入口已关闭,未标明,"名字：Allen Ren 任至意
背景：Pi 研究员；
名字：Jason Ma 马也骋
背景：DYNA 首席科学家；
名字：池晓威
背景：Muka Robotics 联合创始人；
名字：黄一
背景：RoboParty CEO；
名字：李忆庸
背景：清华姚班毕业生、2026 清华特奖；
名字：谭恒楷
背景：生数科技世界模型负责人；
名字：袁逸夫
背景：天津大学博士生、混元 Embodied-R 具身基模负责人；
名字：袁哲诚
背景：破壳机器人首席科学家；",闭门圆桌 + 开放麦 + Afterparty,小红书,https://www.xiaohongshu.com/explore/6a4f362f000000001603d866,AI椰青,07-09-13:48,7月9日 10:00（报名入口已关闭）,上海市浦东新区世博片区,上海市浦东新区世博片区
奇绩创坛,7月18日,18:30–22:00,上海（报名群内通知）,见微信公众号原文报名,免费,全球高校创业者交流会,全球高校创业者交流会 是由奇绩创坛发起的WAIC 2026 期间的交流会。奇绩创坛 · 自由社交 + 校友分享 + Office Hour。活动安排为7月18日，18:30–22:00，上海（报名群内通知）,未标明,未标明,交流会,微信公众号,https://mp.weixin.qq.com/s/kyXWfgeX6oSAi6hBzmAXoA,奇绩创坛,07-03-15:16,未标明,上海市浦东新区世博片区,上海市浦东新区世博片区
启码 Nowcode,7月18日,18:30–21:30,上海浦东世博滨江（WAIC 展馆步行可达）,扫描联谱活动页中的二维码报名,¥128–¥188,WAIC｜上海滨江轻松 AI 夜聚,一场靠近 WAIC 展馆的滨江夜聚，内容覆盖 AI Vibe Coding、Web3 去中心化云部署和从产品到商业闭环的实践。轻量分享之后保留 Networking 时间，适合 AI 从业者与创业者在大会结束后继续交流项目和合作机会。,AI 从业者与创业者,未标明,主题分享 + 滨江夜聚 + Networking,联谱,https://lianpu.com/event/waic-shang-hai-bin-jiang-qing-song-ai-ye-ju,启码 Nowcode,未标明,未标明,上海市浦东新区世博滨江,上海市浦东新区
思源盲盒 × GROW MAX × 聚点社 × 格致穹宇 × 智干,7月18日,未标明,上海浦东陆家嘴,扫描微信文章海报二维码添加博主并申请入群,未标明,WAIC 2026 Afterparty｜思源盲盒 × GROW MAX 等,思源盲盒联合 GROW MAX、聚点社、格致穹宇和智干在 7 月 18 日于陆家嘴组织 WAIC Afterparty。活动以社群连接和会后交流为主，报名需通过海报二维码添加博主并申请入群，具体时间以主办方群内通知为准。,未标明,未标明,Afterparty（预报名阶段）,小红书 / 微信公众号（摘要）,https://www.xiaohongshu.com/explore/6a5440ca000000001102c8a4,思源盲盒,07-13-09:35,未标明,上海市浦东新区陆家嘴,上海市浦东新区陆家嘴
万兴科技 × Praxis × 领骏创投声量生态,7月18日,20:00 开始（19:30 签到）,上海世博滨江大酒店·观澜酒吧（浦东新区世博大道 1588 号）,扫码报名（见原帖海报）,免费,2026 WAIC · 万兴科技创投精英交流酒会,万兴科技联合 Praxis 与领骏创投声量生态打造的 WAIC 创投精英交流酒会，面向 AI 创始人、头部投资人与产业高管。活动以滨江微醺社交为场景，邀请创业、产业和资本一线嘉宾交换赛道判断，寻找资源协同与后续合作机会,AI 创始人、头部 VC 合伙人、产业高管及产业合作伙伴,"名字：吴太兵
背景：万兴科技创始人兼董事长；
名字：康伟
背景：资深产业投资人；
名字：朱军
背景：清华大学人工智能研究院副院长、生数科技创始人兼首席科学家；
名字：汪祥斌
背景：DataEye 剧查查创始人兼 CEO、深圳市微短剧产业协会会长；
名字：刘霄
背景：领骏资本创始合伙人；",创投酒会 + 闭门交流,小红书 / 微信公众号,https://www.xiaohongshu.com/explore/6a539539000000001700bb88 | https://mp.weixin.qq.com/s/rnpSgUcvoQS7PlFlBnOcsw,Vivian在哪里 | 万兴科技 × Praxis × 领骏创投声量生态,07-12-21:23,未标明,上海市浦东新区世博大道1588号,上海市浦东新区世博大道1588号
小e的AI活动便签,7月18日,18:00-20:30,上海前滩（报名后通知地点）,私信博主报名,未标明,创业吐槽小会（AI版）,一场轻松的 AI 创业吐槽局，围绕大模型应用、商业化、融资和组队等真实问题交流。适合想在 WAIC 期间听真话、找同频创业者和 AI 从业者的人参与。,创业者与 AI 从业者,未标明,未标明,小红书,https://www.xiaohongshu.com/explore/6a50bfc60000000017008d3d,小e的AI活动便签,07-10-17:47,未标明,上海市浦东新区前滩国际商务区,上海市浦东新区前滩国际商务区
小浣熊家族 × 清新资本 × Praxis,7月18日,23:00 开始,INS LA FIN（上海市黄浦区雁荡路109号）,https://www.feishu.cn/share/base/form/shrcnBOcdQ0MrRdJG6fiSS6Bg6b?share_link_type=qrcode&ccm_open_type=form_qrcode,免费（门票与酒水由主办方提供）,一起来干点AI做不了的事｜WAIC 7.18 INS 清新蹦迪场,一场限额45人的WAIC深夜聚会。现场不设正式演讲，以音乐、舞蹈和自由交流为主，让投资人、OPCer、创业者与研究者在轻松氛围里建立真实连接。,投资人、OPCer、创业者、研究者,未标明,限额 Afterparty + 舞会 + 自由社交,微信公众号 / 用户提供海报,https://mp.weixin.qq.com/s/duD6mOnZ3e1rU4zXJJu2RA,清新资本,07-16-17:01,07-18 12:00,上海市黄浦区雁荡路109号,上海市黄浦区雁荡路109号
星期八具身智能生态社区 Octoday Hub,7月18日,19:00–21:00,上海（审核后通知）,https://www.feishu.cn/share/base/form/shrcnjkp8UHbFn9EYfPyeSNpRTg?share_link_type=qrcode&ccm_open_type=form_qrcode,未标明,具身智能创业者之夜｜Founder Night @ WAIC,一场不设长篇PPT和官方套话的具身智能创业者夜谈。创业者、研究者、投资人与产业方将围绕机器人产品、技术路线、真实场景和商业化，以Founder Roundtable、开放麦和自由交流展开直接讨论。,具身智能创业者、研究者、投资人、产业方,"名字：金太阳
背景：岱序科技、Octoday Hub 创始人；
名字：卢鹰翔
背景：推行科技 CEO；
名字：任经纬
背景：博银合创 CEO；
名字：尚阳星
背景：桥介数物 CEO；
名字：孟彬
背景：纳眸智能 CEO；",邀请审核制 Founder Roundtable + 开放麦 + 自由交流,微信公众号,https://mp.weixin.qq.com/s/6Xl6sVCI4Jslet9Pl8EF0A,星期八Robotics,07-15-23:37,未标明,上海市浦东新区世博片区,上海市浦东新区世博片区
源来有 Infra,7月18日,16:30–18:30,上海（报名后通知）,见微信公众号原文报名,免费,源来有饭 · WAIC 专场,源来有饭 · WAIC 专场 是由源来有 Infra发起的WAIC 2026 期间的饭局。源来有 Infra · 社交饭局。活动安排为7月18日，16:30–18:30，上海（报名后通知）,未标明,未标明,饭局,微信公众号,https://mp.weixin.qq.com/s/5WSLYOUNoS0pdero5ROwxQ,源来有 Infra,07-14-11:04,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
云启资本,7月18日,傍晚,上海（报名成功后通知）,见微信公众号原文报名,免费,世界模型几分熟 · 云启 × NICE 学术 WAIC BBQ,世界模型几分熟 · 云启 × NICE 学术 WAIC BBQ 是由云启资本发起的WAIC 2026 期间的圆桌 + 主题分享。云启资本 · 主题分享 + 圆桌讨论 + 夏夜 BBQ。活动安排为7月18日，傍晚，上海（报名成功后通知）,未标明,未标明,圆桌 + 主题分享,微信公众号,https://mp.weixin.qq.com/s/Fp7o4FdELR6xDpMY4MXCcw,云启资本,07-06-14:00,未标明,上海市浦东世博片区,上海市浦东新区浦东镇世博片区
知乎,7月18日,13:30 开始,上海油罐艺术中心 U 罐,待人工,免费,Tech Club 新知科技大会,Tech Club 新知科技大会 是由知乎发起的WAIC 2026 期间的圆桌 + 主题分享。知乎 · 主题分享 + 圆桌对话。活动安排为7月18日，13:30 开始，上海油罐艺术中心 U 罐,未标明,未标明,圆桌 + 主题分享,微信公众号,https://mp.weixin.qq.com/s/I9uCP0SdQMlDeAiInUKCww,知乎,07-03-20:00,未标明,上海市徐汇区龙腾大道2380号,上海市徐汇区龙腾大道2380号
智元机器人 × 智元 AIMA 开发者社区,7月18日,18:00–21:30,BAKER & SPICE｜世博天地店,https://luma.com/AGIBOT-night,免费,WAIC Afterparty｜智元「元苼生态」之夜,围绕机器人走向真实世界的一场具身智能生态夜。活动发布智元最新具身应用进展与元苼生态激励、发展计划，邀请产业伙伴分享真实场景部署案例，并通过Show Case和自由交流连接开发者、科研、创业与产业资源。,具身智能开发者、科研人员、创业者、产业伙伴及其他具身智能探索者,"名字：胡旷
背景：智元生态总监；
名字：李航
背景：智元营销服中国区副总裁；
名字：王天
背景：智元交互智能业务部总监；
名字：黄少立
背景：智元灵创业务部总监、玻色子实验室主任；
名字：黄达
背景：智元仿真平台部技术专家；
名字：翁启稳
背景：万达信息医卫中心人工智能产品部总经理；
名字：刘力
背景：觅蜂技术负责人；
名字：邢诗萍
背景：华为2012实验室openEuler具身智能专家；
名字：黄炎
背景：清华大学深圳国际研究生院博士；",WAIC Afterparty + 技术分享 + Show Case + 自由交流,微信公众号 / Luma,https://mp.weixin.qq.com/s/faFy6v4BAeuL2EXEGHwMtQ | https://luma.com/AGIBOT-night,EPIC Connector / 智元机器人,07-16-07:30,未标明,上海市浦东新区世博大道1368号世博源,上海市浦东新区世博大道1368号世博源
自变量,7月18日,20:00–22:00,AGI Bar 知识蒸馏,https://waic.waytoagi.com/events/e_109500375a,未标明,干杯吧，具身！（第二期）,自变量把具身智能技术研讨带进 AGI Bar，围绕世界模型 WALL-WM、具身 Infra、开源动作基模 WALL-OSS-0.5 和 WAIC 现场观察展开分享与对谈。现场还安排具身 bingo 与开发者交流，适合希望把模型、基础设施和机器人实践串起来理解的人。,具身智能、世界模型、机器人与 AI Infra 开发者,"名字：Shalfun
背景：自变量世界模型负责人；
名字：魏博文
背景：阿里云智能集团资深产品解决方案总监；
名字：Vincent
背景：自变量具身 Infra 负责人；
名字：Lucy
背景：自变量动作基模负责人；",技术分享 + 对谈 + 开发者 Meetup,WaytoAGI / 微信公众号,https://waic.waytoagi.com/events/e_109500375a | https://mp.weixin.qq.com/s/8mp20M7u6l-5UEJ2BwyAdQ,自变量,07-15-15:48,未标明,上海市浦东新区浦东世博片区,上海市浦东新区浦东镇世博片区
AGI Bar 知识蒸馏,7月19日,15:00-18:00,上海徐汇·北杨AI小镇,https://my.feishu.cn/share/base/form/shrcnBmFcigWTeHmIqYE8hWkFxd,未标明,赛博酒保·上海AGI Bar：The Bubble Test,AGI Bar 用 The Bubble Test 设计一场社交实验，让参与者围绕各自正在构建的产品、判断和问题进行高密度交流。活动强调真实反馈和跨圈连接，适合希望跳出信息茧房的人。,未标明,未标明,线下交流/Side Event,WaytoAGI,https://waic.waytoagi.com/events/e_eb3bda1b81,AGI Bar,07-15-15:48,未标明,上海市徐汇区北杨人工智能小镇,上海市徐汇区上海北杨人工智能小镇
AI 氛围部 × Vibethon × muShanghai,7月19日,20:00-21:30,十二海里（上海）,待人工,未标明,WAIC Afterparty｜微醺氛围编程之夜,这场 WAIC Afterparty 以 Vibe Coding 为创作媒介，把现场编程、轻松社交与微醺氛围放在同一个夜晚。活动预告将邀请 OpenClaw 首席架构师参与现场对决，适合希望边做边聊、观察 AI 编程实践的人关注。,未标明,未标明,Vibe Coding 聚会 + Afterparty,微信公众号,待人工,未标明,07-14-12:48,未标明,上海市浦东新区世博大道1750号,上海市浦东新区世博大道1750号
ATOX,7月19日,晚上,上海张江科学会堂五楼,https://www.xiaohongshu.com/...,¥298,WAIC UP! × ATOX｜亚太青年创造者之夜,圆桌+主题分享,公众开放,未标明,圆桌+主题分享,小红书/微信公众号,https://www.xiaohongshu.com/...,AttraX,07-08-00:13,未标明,上海市浦东新区海科路1393号张江科学会堂,上海市浦东新区海科路张江科学会堂(W1门)
Cursor 上海社区,7月19日,09:30–18:00,上海前法租界（报名通过后可见）,https://luma.com/nthhqbbg,免费,Cafe Cursor Shanghai,Cafe Cursor Shanghai 是由Cursor 上海社区发起的WAIC 2026 期间的线下交流活动。Cursor 上海社区 · Coworking 咖啡日 · 带上电脑与项目结对 / Demo（上午/下午/全天场）。活动安排为7月19日，09:30–18:00，上海前法租界（报名通过后可见）,未标明,未标明,未标明,Luma,https://luma.com/nthhqbbg,Cursor 上海社区,未标明,未标明,上海市徐汇区衡山路-复兴路历史文化风貌区,上海市徐汇区衡山路复兴中路
Epic connector,7月19日,18:30–21:30,上海浦东海洋西路附近,https://www.huodongxing.com/event/3866680770200,¥99–159,2026 AI HERO 英雄集结,2026 AI HERO 英雄集结 是由Epic connector发起的WAIC 2026 期间的圆桌 + 论坛。Epic connector · 主题演讲 + 圆桌论坛 + 自由交流（含酒水餐食）。活动安排为7月19日，18:30–21:30，上海（报名审核后通知）,未标明,未标明,圆桌 + 论坛,活动行,https://www.huodongxing.com/event/3866680770200,Epic connector,未标明,未标明,上海市浦东新区海洋西路,上海市浦东新区
HTX,7月19日,13:00–18:00,上海（报名通过后可见）,https://luma.com/xvxn9pqf,免费,GENESIS Builders Day｜AI & Web3 创造者大会,GENESIS Builders Day｜AI & Web3 创造者大会 是由HTX发起的WAIC 2026 期间的圆桌。HTX · 圆桌 ×2 + GENESIS 黑客松决赛（15 支入围队伍路演）。活动安排为7月19日，13:00–18:00，上海（报名通过后可见）,未标明,未标明,圆桌,Luma,https://luma.com/xvxn9pqf,HTX,未标明,未标明,上海市浦东新区世博片区,上海市浦东新区世博片区
Lovstudio.AI,7月19日,20:00–次日06:00,上海浦东（报名后可查看详细地址）,https://www.huodongxing.com/event/3869019148900?td=1834945558851,¥299,手工川年度见面会 · WAIC Afterparty,这场通宵见面会复盘一人公司三年的真实实践：从产品失败、现金流和个人选择，聊到 AI Agent 如何成为个人公司的运营系统。现场包含主题分享、闪电秀和 Afterparty，适合想听真实经营经验并结识长期主义 Builder 的人。,独立产品开发者、一人公司经营者，以及关注 AI Agent、长期主义与个人选择的人,"名字：Monica
背景：AGI Villa 发起人；
名字：Estrella
背景：AuraPura Founder；
名字：Cakinna
背景：普适智能 AI 生态负责人；
名字：Avery
背景：上海隽宜律师事务所专职律师；
名字：福秀
背景：上海智隽 CTO；
名字：谈淼淼
背景：云南精品咖啡厂牌副厂长；",OPC 主题分享 + 闪电秀 + Afterparty,活动行 / WaytoAGI,https://www.huodongxing.com/event/3869019148900?td=1834945558851 | https://waic.waytoagi.com/events/e_fa2e8ceb92,Lovstudio.AI,07-15-09:13,未标明,上海市浦东新区浦东世博片区,上海市浦东新区浦东镇世博片区
OPC搞钱派 × GOSUN Technology × Google Cloud,7月19日,19:00–21:00,上海市浦东新区陆家嘴环路1366号富士康大厦,待人工,未标明,WAIC After Party｜Google AI 音乐之夜,把当代艺术、AIGC创作与AI音乐放进同一场夜间Social Mixer。活动围绕艺术碰撞AI、创作者社交、资本连接和技术落地展开，适合希望在WAIC夜场中寻找文创灵感与合作机会的人。,当代艺术从业者、AIGC创作者，以及关注文创投资与AI技术落地的人,未标明,音乐 Afterparty + AIGC 创作者 Social Mixer + 文创投夜场,用户提供海报,待人工,未标明,未标明,未标明,上海市浦东新区陆家嘴环路1366号,上海市浦东新区陆家嘴环路1366号
OpenBuild × Sentient × MiraclePlus（奇绩创坛）,7月19日,13:30–17:30,虹口区四川北路 1318 号盛邦国际大厦 2F,https://luma.com/o8owkbmd,免费,OPEN AGI SALON,OPEN AGI SALON 是由OpenBuild × Sentient × MiraclePlus（奇绩创坛）发起的WAIC 2026 期间的圆桌。OpenBuild × Sentient × MiraclePlus（奇绩创坛） · 主题演讲 + Demo 分享 + 圆桌讨论 + 自由交流。活动安排为7月19日，13:30–17:30，虹口区四川北路 1318 号盛邦国际大厦 2F,未标明,未标明,圆桌,Luma,https://luma.com/o8owkbmd,OpenBuild × Sentient × MiraclePlus（奇绩创坛）,未标明,未标明,上海市虹口区四川北路1318号盛邦国际大厦2F,上海市虹口区四川北路盛邦国际大厦
OpenFDE-李昂,7月19日,10:00,上海·WAIC西岸模速空间,待人工,未标明,FDE上海WAIC线下聚会,OpenFDE 邀请参与者把 AI 从 Demo 走到 Production 的真实问题聊透：客户流程如何拆解、数据与权限如何接入、Eval 如何设计，以及 Vibe Coding Demo 如何变成生产系统。现场强调真实案例、踩坑复盘和可执行方法，不做泛泛趋势讨论。,工程师、产品经理、售前与解决方案人员、创业者，以及正在一线交付 AI 项目的人,未标明,案例分享 + FDE / AI 交付交流,小红书,https://www.xiaohongshu.com/explore/6a5053440000000015025cea,OpenFDE-李昂,07-10-10:04,未标明,上海市徐汇区龙腾大道2555号,上海市徐汇区龙腾大道2555号
PLANTCORE AI,7月19日,18:00-22:00,上海徐汇·西岸数字谷,待人工,未标明,夜班 Night Shift｜Factory × Agent × Plantcore,PLANTCORE AI 在 WAIC 周末发起工业 AI 夜场，围绕工厂、Agent 与产业落地展开分享和交流。现场计划讨论控制论视角下的工业与 AI、Agent-centric 系统架构，以及 FDE 一线实践，限 60 席并采用审核制。,AI 开发者、工厂运营从业者、投资人，以及对工业 AI 感兴趣的研究者,"名字：Sky
背景：分享控制论视角下的工业与 AI；
名字：Jamal
背景：分享 Agent-centric 系统架构与拓扑；
名字：神秘嘉宾
背景：分享 FDE 一线经历与 AI 时代的导师经验；",审核制工业 AI 分享 + Afterparty,小红书,https://www.xiaohongshu.com/explore/6a573718000000002100bbe5,A-kkkkk,07-15-16:10,未标明,上海市徐汇区西岸数字谷,上海市徐汇区西岸
